unix,date,symbol,open,high,low,close,Volume BTC,Volume USD
1616320800000,2021-03-21 10:00:00,BTC/USD,56013.79,56432.54,55670.4,56172.28,20.7668136427,1166519.2706455644
1616317200000,2021-03-21 09:00:00,BTC/USD,57236.36,57301.58,55500.0,56013.79,179.5015779022,10054563.689282471
1616313600000,2021-03-21 08:00:00,BTC/USD,57067.67,57338.05,56938.76,57236.36,16.1631830804,925121.7655356834
1616310000000,2021-03-21 07:00:00,BTC/USD,57116.63,57361.58,56932.23,57067.67,11.262435159,642720.9330502095
1616306400000,2021-03-21 06:00:00,BTC/USD,57187.92,57469.54,56718.09,57116.63,22.3717461695,1277798.7484172487
1616302800000,2021-03-21 05:00:00,BTC/USD,56924.25,57270.45,56873.42,57187.92,17.4386896912,997282.3909651703
1616299200000,2021-03-21 04:00:00,BTC/USD,57833.32,57833.32,56784.08,56924.25,48.9017696958,2783696.563606143
1616295600000,2021-03-21 03:00:00,BTC/USD,57642.06,57878.25,57469.36,57833.32,17.5785342565,1016624.9967871265
1616292000000,2021-03-21 02:00:00,BTC/USD,58221.59,58221.59,57518.0,57642.06,87.9004160014,5066761.0531776585
1616288400000,2021-03-21 01:00:00,BTC/USD,58374.42,58517.73,58140.88,58221.59,8.1343783182,473596.4393471299
1616284800000,2021-03-21 00:00:00,BTC/USD,58123.23,58643.75,57853.12,58374.42,39.3783607013,2298688.9664891805
1616281200000,2021-03-20 23:00:00,BTC/USD,58516.21,58532.49,58038.51,58123.23,35.3430610723,2054252.8676093398
1616277600000,2021-03-20 22:00:00,BTC/USD,58779.65,58846.75,58413.62,58516.21,10.7425365695,628612.5258335416
1616274000000,2021-03-20 21:00:00,BTC/USD,58544.43,58809.44,58426.11,58779.65,18.8396689066,1107389.1444458307
1616270400000,2021-03-20 20:00:00,BTC/USD,59269.37,59410.22,58175.45,58544.43,92.8090874337,5433455.12262613
1616266800000,2021-03-20 19:00:00,BTC/USD,59193.7,59453.17,59158.23,59269.37,20.8232526234,1234181.064339765
1616263200000,2021-03-20 18:00:00,BTC/USD,59181.06,59499.96,59130.97,59193.7,37.059091585,2193664.749555014
1616259600000,2021-03-20 17:00:00,BTC/USD,59049.91,59336.15,59035.96,59181.06,17.5693908048,1039775.1713823171
1616256000000,2021-03-20 16:00:00,BTC/USD,59256.22,59341.23,58955.11,59049.91,45.5764368464,2691284.493900604
1616252400000,2021-03-20 15:00:00,BTC/USD,59385.78,59750.0,59072.09,59256.22,26.0924704804,1546141.1711300882
1616248800000,2021-03-20 14:00:00,BTC/USD,59068.15,59385.79,58794.98,59385.78,47.4499900311,2817854.6689890977
1616245200000,2021-03-20 13:00:00,BTC/USD,59184.52,59880.0,58595.08,59068.15,120.2340753646,7102004.398747498
1616241600000,2021-03-20 12:00:00,BTC/USD,59263.31,59321.16,58798.3,59184.52,14.6168099367,865088.8800348198
1616238000000,2021-03-20 11:00:00,BTC/USD,58680.18,59315.92,58670.5,59263.31,49.5112126515,2934198.3438417665
1616234400000,2021-03-20 10:00:00,BTC/USD,58791.25,58916.22,58631.64,58680.18,6.635187063,389353.97119051137
1616230800000,2021-03-20 09:00:00,BTC/USD,58697.86,58900.0,58602.74,58791.25,8.2484412178,484936.16974598425
1616227200000,2021-03-20 08:00:00,BTC/USD,58454.93,58822.89,58444.86,58697.86,18.7418204643,1100104.7537586165
1616223600000,2021-03-20 07:00:00,BTC/USD,58365.63,58568.72,58321.34,58454.93,4.5715621315,267230.3443874833
1616220000000,2021-03-20 06:00:00,BTC/USD,58175.01,58424.7,58030.63,58365.63,9.5887439773,559653.0831438202
1616216400000,2021-03-20 05:00:00,BTC/USD,58222.62,58396.66,58092.61,58175.01,15.6974596299,913199.8709440288
1616212800000,2021-03-20 04:00:00,BTC/USD,58428.9,58640.99,58210.0,58222.62,21.0805457379,1227364.6038903713
1616209200000,2021-03-20 03:00:00,BTC/USD,58591.87,58625.91,58244.0,58428.9,21.603922882,1262293.4496800897
1616205600000,2021-03-20 02:00:00,BTC/USD,58751.73,58930.46,58462.5,58591.87,28.3492010809,1661032.7043359522
1616202000000,2021-03-20 01:00:00,BTC/USD,58656.37,58904.43,58532.58,58751.73,24.998037969,1468677.9772844363
1616198400000,2021-03-20 00:00:00,BTC/USD,58146.54,58738.94,57878.01,58656.37,14.670941523,860544.1742214515
1616194800000,2021-03-19 23:00:00,BTC/USD,58573.66,58607.19,57951.0,58146.54,50.7921022755,2953385.006646452
1616191200000,2021-03-19 22:00:00,BTC/USD,58733.97,58733.97,58324.71,58573.66,70.2575659733,4115242.781747644
1616187600000,2021-03-19 21:00:00,BTC/USD,58437.32,58926.16,58338.83,58733.97,36.1506702531,2123272.382125468
1616184000000,2021-03-19 20:00:00,BTC/USD,58878.05,59448.39,58155.0,58437.32,87.8131438088,5131564.784960865
1616180400000,2021-03-19 19:00:00,BTC/USD,58806.01,59000.0,58658.5,58878.05,58.121870406,3422102.391857988
1616176800000,2021-03-19 18:00:00,BTC/USD,58917.97,58989.25,58355.24,58806.01,23.8234804867,1400963.831735685
1616173200000,2021-03-19 17:00:00,BTC/USD,58873.92,58996.13,58667.52,58917.97,36.3890997434,2143971.8870086493
1616169600000,2021-03-19 16:00:00,BTC/USD,59022.5,59243.0,58678.23,58873.92,61.7538152717,3635689.180000844
1616166000000,2021-03-19 15:00:00,BTC/USD,58718.89,59200.0,58540.67,59022.5,75.2095521238,4439055.790226985
1616162400000,2021-03-19 14:00:00,BTC/USD,58275.46,58780.0,57933.41,58718.89,47.3920749336,2782810.034897816
1616158800000,2021-03-19 13:00:00,BTC/USD,58836.01,58852.95,58044.76,58275.46,83.8054828814,4883803.06543571
1616155200000,2021-03-19 12:00:00,BTC/USD,58849.57,59275.0,58706.59,58836.01,57.756293879,3398149.884227783
1616151600000,2021-03-19 11:00:00,BTC/USD,58620.01,58860.97,58451.41,58849.57,29.1358924006,1714634.7393415777
1616148000000,2021-03-19 10:00:00,BTC/USD,58298.19,58690.38,58140.2,58620.01,11.3973576409,668113.2188831344
1616144400000,2021-03-19 09:00:00,BTC/USD,58319.55,58873.36,58211.3,58298.19,35.0916316264,2045778.6079658763
1616140800000,2021-03-19 08:00:00,BTC/USD,57808.25,58543.41,57507.61,58319.55,45.2949519834,2641581.2169434954
1616137200000,2021-03-19 07:00:00,BTC/USD,58125.88,58370.19,57758.76,57808.25,17.9777363577,1039261.477800011
1616133600000,2021-03-19 06:00:00,BTC/USD,58369.62,58522.02,57987.11,58125.88,25.5777292577,1486728.021505559
1616130000000,2021-03-19 05:00:00,BTC/USD,57882.33,58380.0,57628.56,58369.62,21.5264123937,1256488.5113835593
1616126400000,2021-03-19 04:00:00,BTC/USD,57793.71,58319.0,57661.96,57882.33,50.2342777219,2907677.040410664
1616122800000,2021-03-19 03:00:00,BTC/USD,57372.28,57929.94,57277.11,57793.71,31.7874422185,1837114.2172177457
